Time (s),Channel 1 (V)
-1.12925,-0.015716995748043
-1.129,-0.013340576033818
-1.12875,-0.015038018686836
-1.1285,-0.012661598972611
-1.12825,-0.015377507217439
-1.128,-0.013340576033818
-1.12775,-0.017414438401061
-1.1275,-0.015716995748043
-1.12725,-0.018772392523475
-1.127,-0.017414438401061
-1.12675,-0.023185743421322
-1.1265,-0.023864720482529
-1.12625,-0.027599094319168
-1.126,-0.024204209013132
-1.12575,-0.024543697543736
-1.1255,-0.020809323707097
-1.12525,-0.0211488122377
-1.125,-0.017753926931664
-1.12475,-0.018432903992872
-1.1245,-0.01639597280925
-1.12425,-0.019111881054079
-1.124,-0.018772392523475
-1.12375,-0.024543697543736
-1.1235,-0.026241140196754
-1.12325,-0.034049376400636
-1.123,-0.035407330523051
-1.12275,-0.040839147012708
-1.1225,-0.040499658482104
-1.12225,-0.044234032318744
-1.122,-0.041518124073915
-1.12175,-0.045591986441158
-1.1215,-0.04287607819633
-1.12125,-0.045591986441158
-1.121,-0.043215566726933
-1.12075,-0.045591986441158
-1.1205,-0.043555055257537
-1.12025,-0.045252497910555
-1.12,-0.04389454378814
-1.11975,-0.046949940563572
-1.1195,-0.042536589665726
-1.11925,-0.042197101135122
-1.119,-0.038802215829087
-1.11875,-0.040839147012708
-1.1185,-0.040160169951501
-1.11825,-0.042197101135122
-1.118,-0.040839147012708
-1.11775,-0.041857612604519
-1.1175,-0.040499658482104
-1.11725,-0.040160169951501
-1.117,-0.039481192890294
-1.11675,-0.038802215829087
-1.1165,-0.036425796114861
-1.11625,-0.034728353461844
-1.116,-0.032691422278222
-1.11575,-0.029975514033393
-1.1155,-0.026920117257961
-1.11525,-0.02488318607434
-1.115,-0.022506766360115
-1.11475,-0.020809323707097
-1.1145,-0.019790858115286
-1.11425,-0.018772392523475
-1.114,-0.019111881054079
-1.11375,-0.018093415462268
-1.1135,-0.017753926931664
-1.11325,-0.016056484278646
-1.113,-0.014698530156232
-1.11275,-0.011982621911403
-1.1125,-0.010624667788989
-1.11225,-0.010285179258386
-1.112,-0.009945690727782
-1.11175,-0.008248248074764
-1.1115,-0.009606202197178
-1.11125,-0.010285179258386
-1.111,-0.011982621911403
-1.11075,-0.0116431333808
-1.1105,-0.012661598972611
-1.11025,-0.013001087503214
-1.11,-0.014359041625629
-1.10975,-0.0116431333808
-1.1095,-0.010624667788989
-1.10925,-0.009606202197178
-1.109,-0.013001087503214
-1.10875,-0.012322110442007
-1.1085,-0.013680064564421
-1.10825,-0.011303644850196
-1.108,-0.013001087503214
-1.10775,-0.010624667788989
-1.1075,-0.012661598972611
-1.10725,-0.009606202197178
-1.107,-0.011982621911403
-1.10675,-0.010624667788989
-1.1065,-0.014698530156232
-1.10625,-0.013340576033818
-1.106,-0.01639597280925
-1.10575,-0.015716995748043
-1.1055,-0.022506766360115
-1.10525,-0.024204209013132
-1.105,-0.030993979625204
-1.10475,-0.030654491094601
-1.1045,-0.03438886493124
-1.10425,-0.029975514033393
-1.104,-0.030654491094601
-1.10375,-0.024543697543736
-1.1035,-0.02488318607434
-1.10325,-0.018432903992872
-1.103,-0.018093415462268
-1.10275,-0.011982621911403
-1.1025,-0.0116431333808
